,name,rating,reviews,ctype,hq,old,employees
14,NatWest Markets,4.1,(155 Reviews),Private,Edinburgh + 4 more,6 years old,10k-50k Employees (India)
15,Satguru Travels ...,3.6,(155 Reviews),Private,Dubai + 20 more,33 years old,201-500 Employees (India)
16,Faiveley Transpo...,4.1,(155 Reviews),Private,Pittsburgh + 11 more,153 years old,1k-5k Employees (India)
17,Kalkine,4.0,(155 Reviews),Private,Sydney + 1 more,8 years old,51-200 Employees (India)
18,Micromatic Machi...,4.6,(154 Reviews),Public,Bengaluru + 25 more,49 years old,501-1k Employees (India)
19,Geetanjali Medic...,4.3,(154 Reviews),Private,"Udaipur,Rajasthan + 15 more",15 years old,1k-5k Employees (India)
20,Technosoft Engin...,4.1,(154 Reviews),Public,"Thane,Maharashtra + 2 more",23 years old,201-500 Employees (India)
21,Citykart Retail,4.1,(154 Reviews),Private,"Delhi,NCT + 36 more",6 years old,201-500 Employees (India)
22,Shriram Finance,3.5,(154 Reviews),Mumbai + 51 more,43 years old,51-200 Employees (India),
23,Sheraton Hotels ...,4.3,(154 Reviews),Private,"Bethesda,Maryland + 16 more",27 years old,10k-50k Employees (India)
24,Piramal Foundati...,4.1,(154 Reviews),NGO/NPO,Mumbai + 35 more,14 years old,11-50 Employees (India)
25,Datamatics Busin...,3.7,(154 Reviews),Public,Mumbai + 3 more,40 years old,1k-5k Employees (India)
26,Alchemy Techsol ...,3.5,(154 Reviews),Private,Bangalore + 12 more,8 years old,201-500 Employees (India)
27,Carnival Cinemas,3.9,(154 Reviews),"Mumbai,Maharashtra + 48 more",10 years old,201-500 Employees (India),
28,Sudhir Power,4.2,(154 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",49 years old,1k-5k Employees (India)
29,Future Consumer,4.2,(154 Reviews),Public,"Mumbai,Maharashtra + 26 more",26 years old,1k-5k Employees (India)
0,Aspire Home Fina...,4.1,(154 Reviews),Private,"Mumbai,Maharashtra + 59 more",9 years old,1k-5k Employees (India)
1,Sheraton Hotels ...,4.3,(154 Reviews),Private,"Bethesda,Maryland + 16 more",27 years old,10k-50k Employees (India)
2,Piramal Foundati...,4.1,(154 Reviews),NGO/NPO,Mumbai + 35 more,14 years old,11-50 Employees (India)
3,Sudhir Power,4.2,(154 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",49 years old,1k-5k Employees (India)
4,Citykart Retail,4.1,(154 Reviews),Private,"Delhi,NCT + 36 more",6 years old,201-500 Employees (India)
5,Shriram Finance,3.5,(154 Reviews),Mumbai + 51 more,43 years old,51-200 Employees (India),
6,Datamatics Busin...,3.7,(154 Reviews),Public,Mumbai + 3 more,40 years old,1k-5k Employees (India)
7,Carnival Cinemas,3.9,(154 Reviews),"Mumbai,Maharashtra + 48 more",10 years old,201-500 Employees (India),
8,Self Practice,4.5,(154 Reviews),New Delhi + 64 more,,,
9,BharatPe,3.8,(154 Reviews),Private,"Bangalore,Karnataka + 42 more",4 years old,201-500 Employees (India)
10,Arjas Steel,4.2,(154 Reviews),"Bengaluru,,Karnataka + 5 more",29 years old,51-200 Employees (India),
11,Aquity Solutions,3.6,(154 Reviews),Cary + 9 more,23 years old,201-500 Employees (India),
12,Future Consumer,4.2,(154 Reviews),Public,"Mumbai,Maharashtra + 26 more",26 years old,1k-5k Employees (India)
13,Rajiv Gandhi Can...,4.0,(154 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 1 more",26 years old,1k-5k Employees (India)
14,Kamineni Hospita...,3.9,(154 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",27 years old,1k-5k Employees (India)
15,Technip Energies,4.1,(154 Reviews),Noida + 17 more,1k-5k Employees (India),,
16,Groz Engineering...,4.2,(154 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",46 years old,1k-5k Employees (India)
17,Kimberly-Clark,4.4,(154 Reviews),Private,"Irving,Texas + 34 more",150 years old,1k-5k Employees (India)
18,Nuance Communica...,4.2,(245 Reviews),Public,"Burlington,Massachusetts + 11 more",30 years old,1k-5k Employees (India)
19,Aptean,3.4,(171 Reviews),Private,"Alpharetta,Georgia + 1 more",24 years old,501-1k Employees (India)
20,Synopsys,4.2,(154 Reviews),Public,"Mountain View,California + 8 more",36 years old,1k-5k Employees (India)
21,Anunta Technolog...,3.7,(153 Reviews),Private,"Mumbai,Maharashtra + 9 more",10 years old,201-500 Employees (India)
22,ETV Network,3.7,(153 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",27 years old,5k-10k Employees (Global)
23,Newgen Knowledge...,3.9,(153 Reviews),Private,Chennai + 9 more,26 years old,1k-5k Employees (India)
24,VisionTek,3.9,(153 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 15 more",29 years old,501-1k Employees (India)
25,Alcatel-Lucent,4.4,(153 Reviews),Public,Boulogne Billancourt Cedex + 18 more,30 years old,201-500 Employees (India)
26,Jain University,3.8,(153 Reviews),Private,Bangalore + 7 more,13 years old,1k-5k Employees (India)
27,Indian Steel Cor...,4.1,(153 Reviews),Public,"Indore,Madhya Pradesh + 7 more",18 years old,1k-5k Employees (India)
28,Steelman Telecom,3.7,(153 Reviews),Private,"Kolkata,West Bengal + 26 more",36 years old,501-1k Employees (Global)
29,AGI Glaspac,3.9,(153 Reviews),Private,Hyderabad + 3 more,50 years old,1k-5k Employees (India)
0,Gravita,4.4,(153 Reviews),Public,"Jaipur,Rajasthan + 9 more",30 years old,201-500 Employees (India)
1,MNC Group,3.8,(153 Reviews),Jakarta + 34 more,33 years old,1 Lakh+ Employees (Global),
2,Reliance Petrole...,3.8,(153 Reviews),Public,Ahemdabad + 27 more,14 years old,201-500 Employees (India)
3,Doubletree By Hi...,3.8,(153 Reviews),Virginia + 16 more,53 years old,501-1k Employees (India),
4,Nuclear Power Co...,4.0,(153 Reviews),Mumbai + 17 more,35 years old,10k-50k Employees (India),
5,Akbar Travels,3.8,(153 Reviews),Private,"Mumbai,Maharashtra + 27 more",44 years old,11-50 Employees (India)
6,Apollo Medskills,4.3,(153 Reviews),JV,"Hyderabad/Secunderabad,Telangana + 24 more",10 years old,201-500 Employees (India)
7,CapeStart,4.7,(153 Reviews),"Cambridge,MA + 1 more",8 years old,201-500 Employees (India),
8,Tredence,3.8,(153 Reviews),Private,"San Jose,California + 4 more",9 years old,1k-5k Employees (India)
9,Vyom Labs,3.8,(153 Reviews),Private,Pune + 3 more,19 years old,501-1k Employees (India)
10,HCL Infotech,3.7,(1.6k Reviews),Private,Noida + 23 more,31 years old,1 Lakh+ Employees (Global)
11,JNET Technologie...,4.2,(152 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 21 more",15 years old,501-1k Employees (India)
12,Marathon Realty,3.9,(152 Reviews),Private,Mumbai + 5 more,53 years old,201-500 Employees (India)
13,S&P Capital IQ,4.2,(152 Reviews),Private,"New York,New York + 2 more",24 years old,10k-50k Employees (India)
14,Nuberg Engineeri...,3.4,(152 Reviews),Private,Noida + 6 more,26 years old,201-500 Employees (India)
15,Lokesh Machines,3.8,(152 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 6 more",39 years old,501-1k Employees (India)
16,Mindteck,3.5,(152 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",31 years old,1k-5k Employees (India)
17,Travelex,3.5,(152 Reviews),Private,London + 7 more,46 years old,501-1k Employees (India)
18,CignaTTk Health ...,4.0,(152 Reviews),Private,"Mumbai,Maharashtra + 34 more",10 years old,1k-5k Employees (India)
19,Knowledge Splice...,3.4,(152 Reviews),Private,"Houston,Texas + 7 more",11 years old,201-500 Employees (India)
20,Indchemie Health...,3.9,(152 Reviews),Private,"Mumbai,Maharashtra + 30 more",36 years old,1k-5k Employees (India)
21,Balasore Alloys,3.6,(152 Reviews),Public,"Balasore,Odisha + 10 more",38 years old,501-1k Employees (India)
22,Metrochem Api,3.4,(152 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",18 years old,201-500 Employees (India)
23,Miracle Software...,3.4,(152 Reviews),Private,Novi + 5 more,28 years old,1k-5k Employees (India)
24,Marksans Pharma,3.3,(152 Reviews),Public,"Mumbai,Maharashtra + 8 more",30 years old,201-500 Employees (India)
25,Balajee Group,4.0,(152 Reviews),Private,"Mumbai,Maharashtra + 24 more",19 years old,51-200 Employees (India)
26,Europa Locks,3.5,(152 Reviews),Private,"Pune,Maharashtra + 15 more",38 years old,51-200 Employees (India)
27,Mashreq Global S...,3.4,(152 Reviews),Private,Dubai + 5 more,17 years old,1k-5k Employees (India)
28,BIC Contracting,4.4,(152 Reviews),Dubai + 10 more,1k-5k Employees (India),,
29,Pyro Group,3.9,(152 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 25 more",23 years old,201-500 Employees (India)
0,ABIS Exports,4.1,(152 Reviews),Private,Rajnandgaon + 36 more,37 years old,1k-5k Employees (India)
1,Jyoti Structures,3.9,(152 Reviews),Public,Mumbai + 27 more,48 years old,11-50 Employees (India)
2,Bada Business,3.7,(152 Reviews),New Delhi + 24 more,3 years old,5k-10k Employees (India),
3,GS Lab,4.3,(152 Reviews),Private,Pune + 1 more,19 years old,1k-5k Employees (India)
4,Brink's,4.3,(152 Reviews),Private,"Farmers Branch,Texas + 30 more",163 years old,201-500 Employees (India)
5,Axles India,3.9,(151 Reviews),Private,"Chennai,Tamil Nadu + 11 more",41 years old,1k-5k Employees (India)
6,Shreya Life Scie...,3.6,(151 Reviews),Private,"Mumbai,Maharashtra + 24 more",21 years old,501-1k Employees (India)
7,Weizmann Forex,3.8,(151 Reviews),Public,"Mumbai,Maharashtra + 34 more",29 years old,201-500 Employees (India)
8,Impresario Enter...,4.0,(151 Reviews),Private,Mumbai + 12 more,21 years old,1k-5k Employees (India)
9,Zee Learn,3.7,(151 Reviews),Public,"Mumbai,Maharashtra + 24 more",6 years old,201-500 Employees (India)
10,KK Spun Pipes,3.1,(151 Reviews),Private,"Faridabad,Haryana + 14 more",45 years old,201-500 Employees (India)
11,SLK Global Solut...,4.1,(151 Reviews),Bengaluru/Bangalore + 5 more,,,
12,Dixcy Textiles,4.3,(151 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",38 years old,1k-5k Employees (India)
13,Midco,3.9,(151 Reviews),Private,Sioux Falls + 28 more,91 years old,1-10 Employees (India)
14,Med Manor Organi...,3.4,(151 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 27 more",24 years old,51-200 Employees (India)
15,Affiliated Compu...,3.8,(151 Reviews),Private,Dallas + 10 more,34 years old,11-50 Employees (India)
16,RASI SEEDS,4.4,(151 Reviews),Private,"Salem,Tamil Nadu + 46 more",49 years old,501-1k Employees (India)
17,Netenrich Techno...,3.8,(151 Reviews),Private,"San Jose,California + 4 more",18 years old,501-1k Employees (India)
18,Western Union,4.3,(151 Reviews),Private,"Denver,Colorado + 15 more",171 years old,1k-5k Employees (India)
19,Himalaya Herbal ...,4.2,(151 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 40 more",92 years old,1k-5k Employees (India)
20,Amcor Flexibles ...,3.8,(151 Reviews),Private,"Melbourne,Victoria + 11 more",158 years old,201-500 Employees (India)
21,Daelim Industria...,4.6,(151 Reviews),Private,Seoul + 12 more,83 years old,51-200 Employees (India)
22,PARAGON POLYMER ...,4.1,(151 Reviews),Kottayam + 29 more,47 years old,1k-5k Employees (India),
23,ISRO Satellite C...,4.4,(151 Reviews),Bengaluru + 11 more,46 years old,10k-50k Employees (India),
24,Suresh Surana & ...,3.6,(151 Reviews),LLP,"Mumbai,Maharashtra + 11 more",38 years old,1k-5k Employees (India)
25,Bellsonica Auto ...,3.8,(151 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",66 years old,201-500 Employees (India)
26,SRM Technologies...,3.7,(151 Reviews),Private,"Chennai,Tamil Nadu + 13 more",23 years old,501-1k Employees (India)
27,Helloverify,3.5,(151 Reviews),"Noida,Uttar Pradesh + 4 more",10 years old,201-500 Employees (India),
28,Agilent Technolo...,4.3,(151 Reviews),Gurgaon/Gurugram + 6 more,,,
29,Ibis,4.2,(151 Reviews),Private,Gurgaon/Gurugram + 19 more,1-10 Employees (India),
0,Preethi Kitchen ...,4.4,(151 Reviews),Private,"Chennai,Tamil Nadu + 35 more",44 years old,1k-5k Employees (India)
1,Himalaya Herbal ...,4.2,(151 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 40 more",92 years old,1k-5k Employees (India)
2,Western Union,4.3,(151 Reviews),Private,"Denver,Colorado + 15 more",171 years old,1k-5k Employees (India)
3,Sureti Insurance...,4.5,(151 Reviews),Coimbatore + 2 more,,,
4,Kia,3.9,(151 Reviews),Seoul + 22 more,1k-5k Employees (India),,
5,IM Gears,3.8,(151 Reviews),Chennai + 3 more,57 years old,201-500 Employees (India),
6,Motilal Oswal,3.8,(151 Reviews),Public,Mumbai + 58 more,35 years old,5k-10k Employees (India)
7,Odessa,4.1,(151 Reviews),Private,Philadelphia + 1 more,24 years old,501-1k Employees (India)
8,MSP Steel & Powe...,3.9,(150 Reviews),Public,"Kolkata,West Bengal + 8 more",92 years old,1k-5k Employees (India)
9,Chennai Petroleu...,4.4,(150 Reviews),Public,"Chennai,Tamil Nadu + 6 more",57 years old,1k-5k Employees (India)
10,Shriram Fortune ...,4.0,(150 Reviews),Private,"Chennai,Tamil Nadu + 70 more",48 years old,501-1k Employees (India)
11,Vacmet India,4.0,(150 Reviews),Public,"Agra,Uttar Pradesh + 11 more",29 years old,501-1k Employees (India)
12,Brawn Laboratori...,3.9,(150 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",32 years old,501-1k Employees (India)
13,Mytrah Energy,3.8,(150 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",13 years old,201-500 Employees (India)
14,N Ranga Rao And ...,4.4,(150 Reviews),Private,"Mysore/Mysuru,Karnataka + 39 more",74 years old,501-1k Employees (India)
15,Galore Networks,2.7,(150 Reviews),Private,"Chennai,Tamil Nadu + 32 more",17 years old,51-200 Employees (India)
16,ecare India,3.7,(150 Reviews),Private,"Chennai,Tamil Nadu + 3 more",22 years old,1k-5k Employees (India)
17,Hindustan Latex ...,3.7,(150 Reviews),Private,"Noida,Uttar Pradesh + 38 more",30 years old,1k-5k Employees (India)
18,ARCADIS,4.2,(150 Reviews),Public,Amsterdam + 21 more,13 years old,10k-50k Employees (India)
19,Ford Business Se...,4.5,(150 Reviews),Chennai + 10 more,24 years old,5k-10k Employees (India),
20,Trelleborg,4.2,(150 Reviews),Private,"Trelleborg,Baden-Württemberg + 4 more",70 years old,51-200 Employees (India)
21,MSPL,4.1,(150 Reviews),Private,Hosapete + 22 more,61 years old,1k-5k Employees (India)
22,Sukhbir Agro Ene...,3.5,(150 Reviews),Private,"Delhi/NCR,Delhi + 17 more",23 years old,501-1k Employees (India)
23,B4S Solutions,4.2,(150 Reviews),Private,"Ghaziabad,Uttar Pradesh + 35 more",33 years old,11-50 Employees (India)
24,Techavera Soluti...,4.4,(150 Reviews),Noida + 2 more,12 years old,51-200 Employees (India),
25,Income Tax Depar...,4.4,(150 Reviews),Private,"Delhi/NCR,Delhi + 60 more",162 years old,1k-5k Employees (Global)
26,Nandi Toyota,4.0,(150 Reviews),"Bengaluru,Karnataka + 2 more",21 years old,201-500 Employees (India),
27,Excelra Knowledg...,3.8,(150 Reviews),Private,"Hyderabad,Telangana + 6 more",21 years old,501-1k Employees (India)
28,Mr Cooper,4.4,(261 Reviews),Private,"Dallas,Texas + 2 more",28 years old,501-1k Employees (India)
29,Monsanto,4.7,(226 Reviews),Public,St. Louis + 28 more,121 years old,1k-5k Employees (India)
0,Micro Plastics,3.9,(150 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 6 more",17 years old,501-1k Employees (India)
1,Gaja Engineering,4.0,(149 Reviews),Private,Hyderabad + 15 more,11 years old,201-500 Employees (India)
2,Accutest Researc...,3.9,(149 Reviews),Private,"Navi Mumbai,Maharashtra + 4 more",24 years old,201-500 Employees (India)
3,Balaji Wafers,4.2,(149 Reviews),Private,"Rajkot,Gujrat + 18 more",38 years old,1k-5k Employees (India)
4,AQM Technologies,3.3,(149 Reviews),Private,"Mumbai,Maharashtra + 6 more",22 years old,1k-5k Employees (India)
5,Kronos Solutions,4.3,(149 Reviews),Private,"Lowell,Massachusetts + 1 more",45 years old,1k-5k Employees (India)
6,HDFC Home Loan,4.0,(149 Reviews),Public,Mumbai + 64 more,45 years old,1k-5k Employees (India)
7,AVIOM,4.1,(149 Reviews),Private,"Delhi,NCT + 62 more",6 years old,201-500 Employees (India)
8,Advantum Health,3.9,(149 Reviews),Private,"Louisville,Kentucky + 2 more",26 years old,201-500 Employees (India)
9,Walsons Facility...,4.0,(149 Reviews),Private,"Gurgaon/Gurugram,Haryana + 21 more",26 years old,5k-10k Employees (India)
10,L&T Transportati...,4.6,(149 Reviews),Mumbai + 24 more,5k-10k Employees (India),,
11,RG Stone Urology...,4.3,(149 Reviews),Private,"Delhi/NCR,Delhi + 10 more",36 years old,201-500 Employees (India)
12,Asian Heart Inst...,4.0,(149 Reviews),Private,"Mumbai,Maharashtra + 3 more",20 years old,201-500 Employees (India)
13,Aristocrat Techn...,4.3,(149 Reviews),Private,"North Ryde,NSW + 5 more",69 years old,1k-5k Employees (India)
14,D'Decor Home Fab...,3.7,(149 Reviews),Private,"Mumbai,Maharashtra + 16 more",23 years old,501-1k Employees (India)
15,Padmini VNA Mech...,4.0,(149 Reviews),Private,"Gurgaon/Gurugram,Haryana",31 years old,1k-5k Employees (India)
16,CEVA Logistics,3.8,(149 Reviews),Private,Marseille + 23 more,16 years old,1k-5k Employees (India)
17,IIT Madras,4.5,(149 Reviews),Private,Chennai + 2 more,63 years old,1k-5k Employees (India)
18,Springer Nature,3.9,(149 Reviews),Private,Berlin + 1 more,16 years old,1k-5k Employees (India)
19,Consero Global S...,3.3,(149 Reviews),Private,Austin + 2 more,16 years old,501-1k Employees (India)
20,ArcelorMittal,4.1,(149 Reviews),Private,Boulevard D’Avranches + 20 more,16 years old,501-1k Employees (India)
21,Wings Biotech,3.3,(149 Reviews),Public,"Delhi/NCR,Delhi + 26 more",36 years old,1k-5k Employees (India)
22,Smc Insurance Br...,3.9,(149 Reviews),Private,"Delhi/NCR,Delhi + 30 more",32 years old,501-1k Employees (India)
23,QX Global Group,4.0,(149 Reviews),Public,"Skipton,North Yorkshire + 5 more",19 years old,1k-5k Employees (India)
24,Pitney Bowes,4.2,(149 Reviews),Private,Stamford + 10 more,102 years old,1k-5k Employees (India)
25,Path Infotech,4.1,(149 Reviews),Private,"Noida,Uttar Pradesh + 5 more",31 years old,501-1k Employees (India)
26,COMSTAR AUTOMOTI...,3.9,(149 Reviews),Private,"Chengalpattu,Tamil Nadu + 3 more",23 years old,201-500 Employees (India)
27,Emerson Electric...,4.0,(148 Reviews),Public,"St Louis,Missouri + 20 more",132 years old,5k-10k Employees (India)
28,BIC Cello,4.1,(148 Reviews),"Mumbai,Maharashtra + 25 more",64 years old,1k-5k Employees (India),
29,Andhra Pradesh S...,3.9,(148 Reviews),Other,Vijayawada + 22 more,8 years old,201-500 Employees (India)
0,Petpooja,4.5,(148 Reviews),Private,Ahmedabad + 20 more,11 years old,201-500 Employees (India)
1,Holisol Logistic...,4.0,(148 Reviews),Private,"Delhi,NCT + 33 more",13 years old,1k-5k Employees (India)
2,Forbes & Company,4.0,(148 Reviews),Private,Mumbai + 14 more,257 years old,201-500 Employees (India)
3,Technofab Engine...,4.0,(148 Reviews),Public,"Delhi/NCR,Delhi + 15 more",51 years old,201-500 Employees (India)
4,Ferns ‘N’ Petals,3.4,(148 Reviews),Private,"Pune,Maharashtra + 8 more",28 years old,201-500 Employees (India)
5,Ciron Drugs & Ph...,3.3,(148 Reviews),Private,"Mumbai,Maharashtra + 10 more",32 years old,51-200 Employees (India)
6,Paul Merchants,4.1,(148 Reviews),Public,"Chandigarh,Chandigarh + 50 more",38 years old,1k-5k Employees (India)
7,Galaxy Weblinks,4.5,(148 Reviews),Private,"Indore,Madhya Pradesh + 5 more",22 years old,501-1k Employees (India)
8,Perkins,4.5,(148 Reviews),Private,"Chennai,Tamil Nadu + 6 more",90 years old,51-200 Employees (India)
9,NTT Global Netwo...,4.2,(148 Reviews),Public,"Chiyoda City,Tokyo + 17 more",22 years old,501-1k Employees (India)
10,Empower Retireme...,3.7,(148 Reviews),Public,"Greenwood Village,Colorado + 2 more",131 years old,5k-10k Employees (Global)
11,Hays Business So...,4.0,(148 Reviews),Public,"Gurgaon,Haryana + 1 more",11 years old,501-1k Employees (India)
12,Four Seasons Hot...,4.2,(148 Reviews),Public,"Toronto,Ontario + 18 more",25 years old,501-1k Employees (India)
13,HYT Engineering,3.2,(148 Reviews),Private,"Pune,Maharashtra + 9 more",45 years old,201-500 Employees (India)
14,Adhunik Metaliks,3.7,(275 Reviews),Public,"Kolkata,West Bengal + 12 more",21 years old,501-1k Employees (India)
15,A.O. Smith,4.2,(147 Reviews),Private,Milwaukee + 26 more,148 years old,1k-5k Employees (India)
16,TMEIC,3.9,(147 Reviews),Private,Tokyo + 6 more,19 years old,201-500 Employees (India)
17,Kanpur Fertilize...,4.0,(147 Reviews),Private,Kanpur + 13 more,12 years old,501-1k Employees (India)
18,Microlink Soluti...,3.6,(147 Reviews),Private,"Ahmedabad,Gujarat + 16 more",26 years old,501-1k Employees (India)
19,inTarvo Technolo...,3.9,(147 Reviews),Private,Noida + 16 more,27 years old,1k-5k Employees (India)
20,Apex CoVantage,3.2,(147 Reviews),Private,"Miami Beach,Florida + 7 more",34 years old,51-200 Employees (India)
21,Magma Housing Fi...,4.2,(147 Reviews),Public,"Kolkata,West Bengal + 54 more",33 years old,5k-10k Employees (India)
22,Falcon Autotech,4.1,(147 Reviews),Private,"Noida,Uttar Pradesh + 8 more",18 years old,501-1k Employees (India)
23,Harley-Davidson,4.3,(147 Reviews),Private,"Milwaukee,Wisconsin + 25 more",119 years old,201-500 Employees (India)
24,IFB Automotive,4.0,(147 Reviews),Private,Bangalore + 9 more,48 years old,501-1k Employees (India)
25,Timex Group Indi...,4.2,(147 Reviews),Public,"Noida,Uttar Pradesh + 19 more",168 years old,201-500 Employees (India)
26,AppInventiv Tech...,4.1,(147 Reviews),Private,"Noida,Uttar Pradesh + 2 more",7 years old,501-1k Employees (India)
27,e-Zest,4.0,(147 Reviews),Public,"Pune,Maharashtra",22 years old,501-1k Employees (India)
28,Hindustan Pencil...,4.3,(147 Reviews),Private,"Mumbai,Maharashtra + 35 more",64 years old,201-500 Employees (India)
29,IDMC,4.1,(147 Reviews),Private,Vitthal Udyognagar + 9 more,44 years old,501-1k Employees (India)
0,Kanpur Fertilize...,4.0,(147 Reviews),Private,Kanpur + 13 more,12 years old,501-1k Employees (India)
1,Tata Steel Long ...,3.8,(147 Reviews),Public,Keonjhar + 10 more,40 years old,501-1k Employees (India)
2,Magma Housing Fi...,4.2,(147 Reviews),Public,"Kolkata,West Bengal + 54 more",33 years old,5k-10k Employees (India)
3,KWALITY DAIRY (I...,4.3,(147 Reviews),Public,"Delhi/NCR,Delhi + 15 more",30 years old,1k-5k Employees (India)
4,SkillVertex,3.5,(147 Reviews),"Bangalore,Karnataka + 3 more",1 years old,201-500 Employees (India),
5,Arya Omnitalk Wi...,4.1,(147 Reviews),Private,Pune + 25 more,20 years old,501-1k Employees (India)
6,Radium Creation,3.9,(147 Reviews),Private,Navi Mumbai + 4 more,31 years old,51-200 Employees (India)
7,QX,4.0,(147 Reviews),Private,"Skipton,North Yorkshire + 3 more",19 years old,1k-5k Employees (India)
8,Danone Foods Bev...,3.8,(418 Reviews),Private,Paris + 29 more,103 years old,501-1k Employees (India)
9,Vishay Component...,4.0,(165 Reviews),Private,"Search ResultsWeb ResultsMalvern,Pennsylvania + 4 more",60 years old,201-500 Employees (India)
10,Fresenius Medica...,3.8,(146 Reviews),Public,Massachusetts + 26 more,26 years old,51-200 Employees (India)
11,Cooper-Standard ...,3.9,(146 Reviews),Public,"Northville,Michigan + 10 more",62 years old,201-500 Employees (India)
12,PMT Machines,3.4,(146 Reviews),Private,Pune + 7 more,61 years old,51-200 Employees (India)
13,Lloyd Electric &...,4.1,(146 Reviews),Public,"Delhi/NCR,Delhi + 33 more",33 years old,11-50 Employees (India)
14,Sanmarg Projects,4.1,(146 Reviews),Private,"Noida,Uttar Pradesh + 31 more",15 years old,201-500 Employees (India)
15,IB Group,4.0,(146 Reviews),Private,"Rajnandgaon,Chhattisgarh + 30 more",37 years old,1k-5k Employees (India)
16,Tbea Energy,4.0,(146 Reviews),Private,"Karjan,Gujrat + 11 more",12 years old,501-1k Employees (India)
17,CNS Comnet,3.8,(146 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",17 years old,201-500 Employees (India)
18,Dishman Pharmace...,4.1,(146 Reviews),Public,Ahmedabad + 6 more,39 years old,201-500 Employees (India)
19,Royal Research,2.5,(146 Reviews),Private,Kolkata + 4 more,9 years old,501-1k Employees (India)
20,IQ BackOffice,3.8,(146 Reviews),Private,"El Segundo,California + 1 more",20 years old,201-500 Employees (India)
21,IPSoft,3.0,(146 Reviews),Private,"New York,New York + 2 more",24 years old,501-1k Employees (India)
22,Chandan Steel,3.7,(146 Reviews),Public,"Mumbai,Maharashtra + 10 more",53 years old,11-50 Employees (India)
23,Central Tool Roo...,3.7,(146 Reviews),Public,"Bhubaneswar,Odisha + 8 more",46 years old,51-200 Employees (India)
24,Integrated Wirel...,3.7,(146 Reviews),Private,Noida + 29 more,18 years old,501-1k Employees (India)
25,Iconic,4.1,(146 Reviews),Private,Gurugram + 20 more,9 years old,201-500 Employees (India)
26,Vcs Quality Serv...,4.3,(146 Reviews),Private,"Mumbai,Maharashtra + 26 more",20 years old,51-200 Employees (India)
27,Control Print,3.8,(146 Reviews),Public,"Mumbai,Maharashtra + 19 more",31 years old,501-1k Employees (India)
28,Narayana Junior ...,3.8,(146 Reviews),Hyderabad + 24 more,43 years old,10k-50k Employees (India),
29,Pulse Pharmaceut...,4.0,(146 Reviews),"Hyderabad/Secunderabad,Telangana + 24 more",25 years old,1k-5k Employees (India),
0,Control Print,3.8,(146 Reviews),Public,"Mumbai,Maharashtra + 19 more",31 years old,501-1k Employees (India)
1,IPSoft,3.0,(146 Reviews),Private,"New York,New York + 2 more",24 years old,501-1k Employees (India)
2,CNS Comnet,3.8,(146 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",17 years old,201-500 Employees (India)
3,Chhatrapati Shiv...,4.2,(146 Reviews),Public,"Mumbai,Maharashtra + 4 more",16 years old,1k-5k Employees (India)
4,Redcliffe Labs,4.0,(146 Reviews),Private,"Gurgaon,Haryana + 22 more",3 years old,1k-5k Employees (India)
5,Greenpanel Indus...,4.3,(146 Reviews),Public,"Gurgaon/Gurugram,Haryana + 30 more",5 years old,1k-5k Employees (India)
6,Gangar Eyenation,4.1,(146 Reviews),Private,"Mumbai,Maharashtra + 14 more",45 years old,501-1k Employees (India)
7,Annexmed,3.8,(146 Reviews),Private,"Chennai,Tamil Nadu + 2 more",18 years old,201-500 Employees (India)
8,Icertis,4.0,(146 Reviews),Private,"Bellevue,Washington",13 years old,1k-5k Employees (India)
9,Nippon Express,4.3,(146 Reviews),Public,"Tokyo,Tokyo + 25 more",75 years old,501-1k Employees (India)
10,Resonance Eduven...,3.6,(145 Reviews),Public,"Kota,Rajasthan + 28 more",21 years old,51-200 Employees (India)
11,CR Asia,4.0,(145 Reviews),Bangkok + 8 more,31 years old,201-500 Employees (India),
12,Nayati Hospital,3.1,(145 Reviews),Private,"Noida,Uttar Pradesh + 7 more",10 years old,1k-5k Employees (India)
13,General Energy M...,3.7,(145 Reviews),Private,"Noida,Uttar Pradesh + 31 more",23 years old,501-1k Employees (India)
