,name,rating,reviews,ctype,hq,old,employees
2,Future Group,4.2,(10.3k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
3,Max Life Insuran...,4.2,(3.2k Reviews),JV,"Gurgaon/Gurugram,Haryana + 295 more",22 years old,10k-50k Employees (India)
4,Oracle,3.9,(4k Reviews),Public,"Austin,Texas + 30 more",45 years old,50k-1 Lakh Employees (India)
5,First Source,3.9,(3.1k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,10k-50k Employees (India)
6,TATA Steel,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 128 more",115 years old,10k-50k Employees (India)
7,Hero MotoCorp,4.2,(3.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 266 more",38 years old,5k-10k Employees (India)
8,JSW Steel,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 93 more",40 years old,10k-50k Employees (India)
9,TVS Motor,4.1,(4.6k Reviews),Public,"Chennai,Tamil Nadu + 244 more",43 years old,10k-50k Employees (India)
10,Tata Projects,4.2,(3.2k Reviews),Public,"Mumbai,Maharashtra + 195 more",43 years old,10k-50k Employees (India)
11,Hexaware Technol...,3.7,(3.2k Reviews),Public,"Mumbai,Maharashtra + 30 more",32 years old,10k-50k Employees (India)
12,Oyo Rooms,3.5,(3.2k Reviews),Private,"Gurgaon,Haryana + 103 more",9 years old,1k-5k Employees (India)
13,JLL,4.3,(3.1k Reviews),Private,"Mumbai,Maharashtra + 57 more",25 years old,10k-50k Employees (India)
14,Cyient,3.7,(3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",31 years old,10k-50k Employees (India)
15,Wipro BPS,3.8,(3k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
16,Hyundai Motor,4.2,(4k Reviews),Private,Seoul + 226 more,55 years old,10k-50k Employees (India)
17,JustDial,3.5,(2.9k Reviews),Public,"Mumbai,Maharashtra + 129 more",26 years old,10k-50k Employees (India)
18,Bosch,4.2,(6.4k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 85 more",136 years old,10k-50k Employees (India)
19,Quess,3.9,(9.1k Reviews),Public,Bangalore + 336 more,15 years old,10k-50k Employees (India)
20,Bajaj Allianz Li...,4.1,(2.9k Reviews),Private,Pune + 404 more,21 years old,10k-50k Employees (India)
21,Megha Engineerin...,4.2,(2.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 203 more",33 years old,1k-5k Employees (India)
22,Atos Syntel,3.7,(4.6k Reviews),Private,"Troy,Michigan + 15 more",42 years old,10k-50k Employees (India)
23,Samsung,4.0,(7.6k Reviews),Public,Seoul + 353 more,84 years old,10k-50k Employees (India)
24,L&T Construction,4.2,(3.6k Reviews),Public,Chennai + 264 more,78 years old,10k-50k Employees (India)
25,Manappuram Finan...,4.0,(3.4k Reviews),Public,"Thrissur/Trichur,Kerala + 398 more",73 years old,10k-50k Employees (India)
26,Omega Healthcare,3.8,(2.7k Reviews),Private,Florida + 28 more,18 years old,5k-10k Employees (India)
27,D Mart,3.9,(2.7k Reviews),Private,"Mumbai,Maharashtra + 163 more",22 years old,10k-50k Employees (India)
28,BNY Mellon,4.2,(2.6k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
29,SBI Cards & Paym...,3.8,(2.6k Reviews),Government,"Gurgaon/Gurugram,Haryana + 244 more",24 years old,10k-50k Employees (India)
0,Viatris,4.3,(2.6k Reviews),"Canonsburg,Pennsylvania + 64 more",61 years old,10k-50k Employees (India),
1,Cummins,4.3,(3.2k Reviews),"Columbus,Indiana + 85 more",60 years old,10k-50k Employees (India),
2,Fullerton India,4.2,(2.6k Reviews),Private,Mumbai + 401 more,15 years old,10k-50k Employees (India)
3,Aditya Birla Fas...,4.2,(3.4k Reviews),Private,Mumbai + 198 more,7 years old,10k-50k Employees (India)
4,IQVIA,4.2,(2.6k Reviews),Partnership,Durham + 37 more,40 years old,10k-50k Employees (India)
5,Godrej & Boyce M...,3.9,(2.9k Reviews),Private,"Mumbai,Maharashtra + 115 more",125 years old,10k-50k Employees (India)
6,UnitedHealth,4.2,(4.6k Reviews),Private,"Minnetonka,Minnesota + 12 more",45 years old,10k-50k Employees (India)
7,CBRE,4.3,(2.5k Reviews),Private,"Los Angeles,California + 52 more",116 years old,10k-50k Employees (India)
8,State Bank of In...,3.8,(5k Reviews),"Mumbai,Maharashtra + 352 more",216 years old,1 Lakh+ Employees (India),
9,Nagarro,4.5,(2.6k Reviews),Private,"Munich,Bavaria + 31 more",26 years old,10k-50k Employees (India)
10,ICICI Lombard Ge...,3.9,(2.4k Reviews),Public,"Mumbai,Maharashtra + 201 more",21 years old,10k-50k Employees (India)
11,JBM Group,4.0,(3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 74 more",39 years old,10k-50k Employees (India)
12,Equitas Small Fi...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 292 more",15 years old,10k-50k Employees (India)
13,Nagarjuna Constr...,4.1,(2.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 183 more",24 years old,1k-5k Employees (India)
14,Royal Enfield,4.2,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 242 more",121 years old,1k-5k Employees (India)
15,Amdocs,4.1,(2.4k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
16,Dominos Pizza,4.1,(2.4k Reviews),Public,"Ypsilanti,Michigan + 208 more",62 years old,1k-5k Employees (India)
17,Bajaj Auto,4.0,(2.4k Reviews),Public,"Pune,Maharashtra + 208 more",77 years old,5k-10k Employees (India)
18,Schneider Electr...,4.2,(4k Reviews),Private,Paris + 79 more,23 years old,10k-50k Employees (India)
19,Ford Motor,4.5,(2.8k Reviews),Public,"Dearborn,Michigan + 106 more",119 years old,10k-50k Employees (India)
20,Bosch Global Sof...,4.2,(2.4k Reviews),Private,Gerlingen + 21 more,32 years old,10k-50k Employees (India)
21,BigBasket,4.2,(2.4k Reviews),Private,"Bangalore,Karnataka + 81 more",11 years old,5k-10k Employees (India)
22,Tata Communicati...,4.1,(3.2k Reviews),Public,"Mumbai,Maharashtra + 88 more",36 years old,10k-50k Employees (India)
23,Indiamart Interm...,3.7,(2.5k Reviews),Private,"Noida,Uttar Pradesh + 107 more",26 years old,10k-50k Employees (India)
24,Axis Direct,4.0,(2.4k Reviews),Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
25,UST,4.0,(2.5k Reviews),Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India)
26,Ecom Express,4.2,(2.3k Reviews),Private,"Gurgaon,Haryana + 485 more",10 years old,10k-50k Employees (India)
27,Dell,4.2,(3.8k Reviews),Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India)
28,Wipro Infotech,4.0,(2.4k Reviews),Private,Bangalore + 114 more,77 years old,1 Lakh+ Employees (Global)
29,Muthoot Fincorp,4.0,(2.3k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 428 more",135 years old,10k-50k Employees (India)
0,Wipro Consumer ...,3.9,(3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 71 more",77 years old,1k-5k Employees (India)
1,John Deere,4.4,(2.5k Reviews),Private,"Moline,Illinois + 98 more",21 years old,5k-10k Employees (India)
2,SBI Life Insuran...,3.8,(2.3k Reviews),Government,"Mumbai,Maharashtra + 424 more",21 years old,10k-50k Employees (India)
3,Whitehat jr,3.8,(2.3k Reviews),Private,"Mumbai,Maharashtra + 43 more",4 years old,5k-10k Employees (India)
4,Hetero Drugs,3.9,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",29 years old,1k-5k Employees (India)
5,Flex,4.1,(2.3k Reviews),Private,San Jose + 36 more,53 years old,10k-50k Employees (India)
6,LG Electronics,4.0,(2.3k Reviews),Public,"Seoul,Seoul + 188 more",64 years old,10k-50k Employees (India)
7,L&T Financial Se...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 390 more",28 years old,10k-50k Employees (India)
8,Motherson Sumi S...,3.8,(3.7k Reviews),Public,"Noida,Uttar Pradesh + 60 more",36 years old,5k-10k Employees (India)
9,KEC Internationa...,4.1,(2.3k Reviews),Public,"Mumbai,Maharashtra + 210 more",77 years old,5k-10k Employees (India)
10,Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 110 more,14 years old,5k-10k Employees (India)
11,Cholamandalam In...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 484 more",44 years old,5k-10k Employees (India)
12,GlobalLogic,4.0,(2.2k Reviews),Private,"San Jose,California + 24 more",22 years old,1k-5k Employees (India)
13,Muthoot Finance,3.6,(2.2k Reviews),Public,"Kochi/Cochin,Kerala + 415 more",83 years old,10k-50k Employees (India)
14,Abbott Healthcar...,4.1,(4.3k Reviews),Public,"Illinois City,Illinois + 147 more",31 years old,10k-50k Employees (India)
15,Thermax,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 126 more",42 years old,1k-5k Employees (India)
16,Subros,4.0,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 35 more",37 years old,1k-5k Employees (India)
