,Unnamed: 0,name,rating,reviews,ctype,hq,old,employees
609,9.0,Altisource,3.8,(814 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",15 years old,1k-5k Employees (India)
610,10.0,Sharekhan,4.1,(813 Reviews),Public,"Mumbai,Maharashtra + 102 more",22 years old,1k-5k Employees (India)
611,11.0,Alstom Transport...,4.0,(807 Reviews),Private,Saint-Ouen + 34 more,94 years old,5k-10k Employees (India)
612,12.0,Gland Pharma,4.1,(1.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 20 more",44 years old,1k-5k Employees (India)
613,13.0,Steel Strips Whe...,3.8,(805 Reviews),Public,"Chandigarh,Chandigarh + 27 more",37 years old,1k-5k Employees (India)
614,14.0,JW Marriott,4.3,(805 Reviews),Private,"Bethesda,Maryland + 35 more",95 years old,1k-5k Employees (India)
615,15.0,PI Industries,4.1,(805 Reviews),Public,"Gurgaon/Gurugram,Haryana + 65 more",75 years old,1k-5k Employees (India)
616,16.0,XcelServ Solutio...,4.7,(805 Reviews),Private,"Las Vegas,Nevada + 33 more",11 years old,501-1k Employees (India)
617,17.0,Krishna Maruti,4.1,(805 Reviews),Private,"Gurgaon/Gurugram,Haryana + 24 more",28 years old,1k-5k Employees (India)
618,18.0,Essar Steel,3.9,(843 Reviews),Private,"Mumbai,Maharashtra + 28 more",46 years old,1k-5k Employees (India)
619,19.0,Daikin,4.2,(805 Reviews),Private,"Osaka City,Osaka + 63 more",22 years old,1k-5k Employees (India)
620,20.0,Sysnet Global Te...,3.7,(804 Reviews),Private,"Delhi/NCR,Delhi + 93 more",23 years old,1k-5k Employees (India)
621,21.0,TATA Power,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 85 more",111 years old,10k-50k Employees (India)
622,22.0,Standard Charter...,4.0,(802 Reviews),Private,Chennai + 12 more,21 years old,10k-50k Employees (India)
623,23.0,Meesho,3.9,(798 Reviews),Private,"Bangalore,Karnataka + 64 more",7 years old,1k-5k Employees (India)
624,24.0,GlaxoSmithKline ...,4.3,(1.4k Reviews),Brentford + 98 more,10k+ Employees (Global),,
625,25.0,Aadhar Housing F...,4.1,(793 Reviews),Private,"Mumbai,Maharashtra + 197 more",12 years old,1k-5k Employees (India)
626,26.0,Cushman & Wakefi...,4.3,(792 Reviews),Private,Chicago + 27 more,25 years old,1k-5k Employees (India)
627,27.0,Tikona Infinet,3.8,(791 Reviews),Private,"Mumbai,Maharashtra + 41 more",14 years old,1k-5k Employees (India)
628,28.0,ITD Cementation ...,4.2,(790 Reviews),Public,"Mumbai,Maharashtra + 47 more",91 years old,1k-5k Employees (India)
629,29.0,Honda Cars,4.3,(789 Reviews),Greater Noida + 61 more,5k-10k Employees (India),,
630,0.0,Allstate,4.2,(789 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",10 years old,5k-10k Employees (India)
631,1.0,SS&C TECHNOLOGIE...,3.7,(849 Reviews),Private,"Windsor Locks,Connecticut + 12 more",36 years old,5k-10k Employees (India)
632,2.0,Haldiram Foods,4.0,(892 Reviews),Private,Nagpur + 72 more,52 years old,1k-5k Employees (India)
633,3.0,Microsoft Corpor...,4.3,(897 Reviews),Private,Sunnyvale + 42 more,47 years old,5k-10k Employees (India)
634,4.0,Cerner,4.0,(785 Reviews),Public,"Kansas,Missouri + 1 more",43 years old,5k-10k Employees (India)
635,5.0,Computer Age Man...,3.9,(784 Reviews),Private,"Chennai,Tamil Nadu + 69 more",34 years old,1k-5k Employees (India)
636,6.0,FDC,4.0,(784 Reviews),Public,"Mumbai,Maharashtra + 79 more",82 years old,1k-5k Employees (India)
637,7.0,SKF,4.1,(783 Reviews),Public,Gothenburg + 49 more,99 years old,1k-5k Employees (India)
638,8.0,Godrej Group,3.9,(5.1k Reviews),Public,Mumbai + 95 more,125 years old,10k-50k Employees (India)
639,9.0,Petrofac,4.3,(1.6k Reviews),Private,Sharjah + 29 more,41 years old,1k-5k Employees (India)
640,10.0,AGS Transact Tec...,3.6,(780 Reviews),Private,Mumbai + 89 more,20 years old,10k-50k Employees (India)
641,11.0,Tata Communicati...,4.1,(780 Reviews),Private,Mumbai + 55 more,16 years old,10k-50k Employees (India)
642,12.0,Intex Technologi...,3.9,(778 Reviews),Public,"Delhi/NCR,New Delhi + 71 more",26 years old,1k-5k Employees (India)
643,13.0,Compass Group S...,4.0,(835 Reviews),Public,"Chertsey,Surrey + 55 more",81 years old,10k-50k Employees (India)
644,14.0,Adani Ports and ...,4.0,(776 Reviews),Public,"Ahmedabad,Gujrat + 48 more",24 years old,1k-5k Employees (India)
645,15.0,Max Bupa Health ...,3.8,(776 Reviews),Private,"Delhi/NCR,New Delhi + 117 more",14 years old,5k-10k Employees (India)
646,16.0,Volkswagen,4.2,(1.6k Reviews),Private,Berlin + 85 more,21 years old,1k-5k Employees (India)
647,17.0,Fino Payments Ba...,4.2,(773 Reviews),Private,"Mumbai,Maharashtra + 162 more",16 years old,1k-5k Employees (India)
648,18.0,Manipal Hospita...,4.2,(772 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 35 more",69 years old,5k-10k Employees (India)
649,19.0,SYSKA LED Lights,3.6,(771 Reviews),Private,"Pune,Maharashtra + 115 more",10 years old,1k-5k Employees (Global)
650,20.0,Ashoka Buildcon,4.1,(770 Reviews),Public,"Nasik/Nashik,Maharashtra + 100 more",46 years old,1k-5k Employees (India)
651,21.0,Broadridge Finan...,4.0,(770 Reviews),Private,"New York City,New York + 5 more",15 years old,1k-5k Employees (India)
652,22.0,Best Sellers,4.4,(769 Reviews),Private,Brande + 67 more,47 years old,1k-5k Employees (India)
653,23.0,Bajaj Capital,3.8,(1.1k Reviews),Public,"Delhi/NCR,New Delhi + 121 more",58 years old,1k-5k Employees (India)
654,24.0,iQor Global Serv...,3.8,(767 Reviews),Private,"Saint Petersburg,Florida + 47 more",24 years old,1k-5k Employees (India)
655,25.0,DENSO,4.1,(899 Reviews),Public,"Kariya,Aichi + 33 more",75 years old,1k-5k Employees (India)
656,26.0,HTC Global Servi...,3.8,(763 Reviews),Private,"Troy,Michigan + 21 more",32 years old,5k-10k Employees (India)
657,27.0,NSE.IT,3.7,(763 Reviews),Public,"Mumbai,Maharashtra + 122 more",23 years old,201-500 Employees (India)
658,28.0,Zf Rane Automoti...,4.0,(763 Reviews),Chennai + 39 more,,,
659,29.0,DISH TV,3.8,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 118 more",19 years old,1k-5k Employees (India)
660,0.0,Aricent,3.7,(776 Reviews),Private,"Santa Clara,California + 10 more",40 years old,5k-10k Employees (India)
661,1.0,Asahi India Glas...,3.9,(758 Reviews),Public,"Gurgaon/Gurugram,Haryana + 48 more",38 years old,1k-5k Employees (India)
662,2.0,TTEC India,4.1,(770 Reviews),Public,"San Mateo,California + 11 more",40 years old,1k-5k Employees (India)
663,3.0,MiraMed Ajuba,4.1,(757 Reviews),Private,"Chennai,Tamil Nadu + 6 more",21 years old,1k-5k Employees (India)
664,4.0,Optum Global Sol...,4.0,(757 Reviews),Hyderabad/Secunderabad + 8 more,1k-5k Employees (India),,
665,5.0,BVG India,3.9,(757 Reviews),Private,"Pune,Maharashtra + 74 more",25 years old,1k-5k Employees (India)
666,6.0,Cargill,4.3,(1.1k Reviews),Private,"Wayzata,Minnesota + 79 more",157 years old,1k-5k Employees (India)
667,7.0,Granules India,4.1,(755 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 9 more",38 years old,1k-5k Employees (India)
668,8.0,ECIL,4.2,(754 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 34 more",55 years old,501-1k Employees (India)
669,9.0,KIA MOTORS,3.8,(753 Reviews),Private,Seoul + 83 more,78 years old,1k-5k Employees (India)
670,10.0,Synchrony,4.4,(753 Reviews),Private,Stamford + 5 more,19 years old,1k-5k Employees (India)
671,11.0,Sahara India Par...,3.9,(1.2k Reviews),Private,"Lucknow,Uttar Pradesh + 191 more",44 years old,5k-10k Employees (India)
672,12.0,Devyani Internat...,3.7,(750 Reviews),Public,Gurugram + 70 more,31 years old,5k-10k Employees (India)
673,13.0,Shriram Pistons ...,4.2,(748 Reviews),Public,"Delhi/NCR,Delhi + 37 more",59 years old,1k-5k Employees (India)
674,14.0,Indoco Remedies,3.7,(747 Reviews),Public,"Mumbai,Maharashtra + 46 more",75 years old,1k-5k Employees (India)
675,15.0,Hero Motors Comp...,4.2,(4.2k Reviews),Private,New Delhi + 162 more,24 years old,5k-10k Employees (India)
676,16.0,Iffco Tokio Gene...,4.1,(745 Reviews),Private,"Gurgaon/Gurugram,Haryana + 172 more",22 years old,1k-5k Employees (India)
677,17.0,CitiusTech,4.0,(745 Reviews),Private,New Jersey + 10 more,17 years old,1k-5k Employees (India)
678,18.0,Nielsen,4.0,(1.1k Reviews),Private,"New York City,New York + 76 more",99 years old,1k-5k Employees (India)
679,19.0,Bisleri,4.2,(743 Reviews),Private,"Mumbai,Maharashtra + 96 more",57 years old,1k-5k Employees (India)
680,20.0,Planet Spark,3.5,(743 Reviews),Private,"Gurgaon,Haryana + 22 more",5 years old,51-200 Employees (India)
681,21.0,Jubilant Pharmov...,4.2,(1.1k Reviews),Public,"Noida,Uttar Pradesh + 41 more",44 years old,1k-5k Employees (India)
